mes,termino,interes,category
2025-09,blouse,11.0,prenda
2025-10,blouse,10.0,prenda
2025-11,blouse,11.0,prenda
2025-12,blouse,10.0,prenda
2026-01,blouse,10.0,prenda
2020-01,sweater,13.0,prenda
2020-02,sweater,10.0,prenda
2020-03,sweater,7.0,prenda
2020-04,sweater,7.0,prenda
2020-05,sweater,7.0,prenda
2020-06,sweater,7.0,prenda
2020-07,sweater,7.0,prenda
2020-08,sweater,8.0,prenda
2020-09,sweater,11.0,prenda
2020-10,sweater,15.0,prenda
2020-11,sweater,19.0,prenda
2020-12,sweater,24.0,prenda
2021-01,sweater,14.0,prenda
2021-02,sweater,11.0,prenda
2021-03,sweater,9.0,prenda
2021-04,sweater,8.0,prenda
2021-05,sweater,7.0,prenda
2021-06,sweater,6.0,prenda
2021-07,sweater,7.0,prenda
2021-08,sweater,8.0,prenda
2021-09,sweater,11.0,prenda
2021-10,sweater,16.0,prenda
2021-11,sweater,24.0,prenda
2021-12,sweater,28.0,prenda
2022-01,sweater,15.0,prenda
2022-02,sweater,12.0,prenda
2022-03,sweater,9.0,prenda
2022-04,sweater,9.0,prenda
2022-05,sweater,7.0,prenda
2022-06,sweater,7.0,prenda
2022-07,sweater,7.0,prenda
2022-08,sweater,8.0,prenda
2022-09,sweater,12.0,prenda
2022-10,sweater,18.0,prenda
2022-11,sweater,25.0,prenda
2022-12,sweater,28.0,prenda
2023-01,sweater,16.0,prenda
2023-02,sweater,12.0,prenda
2023-03,sweater,10.0,prenda
2023-04,sweater,8.0,prenda
2023-05,sweater,7.0,prenda
2023-06,sweater,7.0,prenda
2023-07,sweater,7.0,prenda
2023-08,sweater,10.0,prenda
2023-09,sweater,12.0,prenda
2023-10,sweater,16.0,prenda
2023-11,sweater,25.0,prenda
2023-12,sweater,32.0,prenda
2024-01,sweater,17.0,prenda
2024-02,sweater,13.0,prenda
2024-03,sweater,10.0,prenda
2024-04,sweater,9.0,prenda
2024-05,sweater,8.0,prenda
2024-06,sweater,8.0,prenda
2024-07,sweater,8.0,prenda
2024-08,sweater,10.0,prenda
