mes,termino,impact_score
2020-02,shirt,9.915505361754377
2020-02,silk,0.3
2020-02,skirt,18.178151250383642
2020-02,slip dress,5.497940008672037
2020-02,streetwear,9.24830486304816
2020-02,sunglasses,1.845098040014257
2020-02,sweater,2.6999999999999997
2020-02,t-shirt,2.146128035678238
2020-02,trench coat,6.3
2020-02,turquoise,3.5440680443502757
2020-02,velvet,2.7323937598229686
2020-02,y2k,0.8999999999999999
2020-02,yellow,1.6989700043360187
2020-03,animal print,0.3
2020-03,athleisure,30.21355823194225
2020-03,avant-garde,4.454242509439325
2020-03,beige,0.3
2020-03,bermuda shorts,2.9989700043360186
2020-03,blazer,6.0
2020-03,blouse,25.394500448657837
2020-03,bomber jacket,8.899174055588485
2020-03,brown,69.2516272620099
2020-03,burgundy,1.6020599913279625
2020-03,camel,0.3
2020-03,cargo pants,3.5
2020-03,casual,2.3
2020-03,coat,22.03906144968943
2020-03,coquette,2.6989700043360187
2020-03,corduroy,0.3
2020-03,cotton,18.02545505663595
2020-03,crop top,5.996910013008057
2020-03,denim,3.5
2020-03,dress,58.03897585388003
2020-03,faux leather,9.783652108542043
2020-03,floral,4.6020599913279625
2020-03,gray,1.0
2020-03,green,1.6020599913279625
2020-03,handbag,0.8999999999999999
2020-03,heels,3.298970004336019
2020-03,jacket,15.798144059924503
2020-03,jeans,4.498970004336019
2020-03,lace,0.3
2020-03,leather,9.783652108542043
2020-03,linen,7.991226075692495
2020-03,maxi dress,24.987609164949042
2020-03,mini skirt,4.877723605288848
2020-03,navy,2.3
2020-03,pants,3.5
2020-03,pink,1.0
2020-03,plaid,3.854242509439325
2020-03,preppy,12.4
2020-03,red,4.954242509439325
2020-03,satin,1.4771212547196624
2020-03,sequins,0.3
2020-03,shirt,8.292256071356476
2020-03,silk,6.096910013008056
2020-03,silver,2.6989700043360187
2020-03,skirt,11.854844860008509
2020-03,slip dress,0.8999999999999999
2020-03,streetwear,6.0010299956639805
2020-03,sweater,2.6
2020-03,trench coat,10.94390155048518
2020-03,velvet,1.0
2020-03,white,7.301029995663981
2020-03,yellow,5.096910013008056
2020-04,animal print,2.146128035678238
2020-04,athleisure,31.56381968781357
2020-04,avant-garde,3.201029995663981
2020-04,bermuda shorts,5.768482948553935
2020-04,black,13.100844770065308
2020-04,blouse,33.52253312673732
2020-04,blue,3.0827853703164503
2020-04,bodysuit,0.3
2020-04,bomber jacket,29.89569248352628
2020-04,brown,4.973127853599698
2020-04,cardigan,0.3
2020-04,cargo pants,7.368482948553934
2020-04,casual,17.61563368433806
2020-04,coat,52.25115976220545
2020-04,corduroy,0.3
2020-04,corset,1.4771212547196624
2020-04,crop top,0.6
2020-04,denim,4.704119982655925
2020-04,dress,69.06817055234906
2020-04,faux leather,3.5
2020-04,floral,6.124178055474676
2020-04,gray,5.710032699065754
2020-04,green,2.778151250383644
2020-04,handbag,0.8999999999999999
2020-04,heels,1.0
2020-04,hoodie,3.3483048630481607
2020-04,jacket,98.23689472328975
2020-04,jeans,4.104119982655925
2020-04,lace,2.113943352306837
2020-04,leather,3.5
2020-04,linen,13.17676821406943
2020-04,maxi dress,29.470740168632233
2020-04,mini skirt,6.976091259055681
2020-04,minimalist,16.281796168466546
2020-04,mint,1.3010299956639813
2020-04,pants,12.99193862058912
2020-04,pink,7.113943352306837
2020-04,plaid,4.5461280356782385
2020-04,preppy,2.1
2020-04,red,6.0
2020-04,sequins,4.082785370316451
2020-04,shirt,39.4317740180128
2020-04,silk,5.68278537031645
2020-04,skirt,40.31597203801588
2020-04,slip dress,2.4
2020-04,streetwear,34.868810921216614
2020-04,striped,1.0
2020-04,sunglasses,2.9731278535996983
2020-04,sweater,3.8542425094393247
2020-04,t-shirt,4.2552725051033065
2020-04,trench coat,27.68598925807891
2020-04,white,6.896189894868235
2020-04,y2k,2.9010299956639813
2020-04,yellow,4.350248018334163
2020-05,animal print,3.518513939877888
2020-05,athleisure,39.34606985584739
2020-05,avant-garde,9.01664050733828
2020-05,beige,0.3
2020-05,bermuda shorts,5.205149978319906
2020-05,black,7.138302698166282
2020-05,blouse,25.345594958565382
2020-05,bodysuit,0.3
2020-05,bomber jacket,8.815970345456918
2020-05,brown,73.2516272620099
2020-05,camouflage,1.4771212547196624
2020-05,cargo pants,13.088384222635348
2020-05,casual,11.788965344300339
2020-05,coat,37.096019700715814
2020-05,corduroy,0.3
2020-05,cotton,19.424425060971966
2020-05,crop top,5.354242509439325
2020-05,denim,2.2
2020-05,dress,103.72280309902013
2020-05,faux leather,8.64493154614916
2020-05,floral,6.885460729508501
2020-05,green,5.107209969647869
2020-05,grunge,2.204119982655925
2020-05,handbag,0.6
2020-05,heels,2.0
2020-05,jacket,20.46048355179096
2020-05,jeans,2.5
2020-05,leather,12.689863092298319
2020-05,linen,11.683315653183874
2020-05,magenta,0.3
2020-05,maxi dress,45.917432112640256
2020-05,mini skirt,15.714237347767742
2020-05,minimalist,5.40823996531185
2020-05,mint,2.204119982655925
2020-05,navy,2.954242509439325
2020-05,pants,26.435987415961332
2020-05,periwinkle,1.0
2020-05,pink,7.227886704613674
2020-05,plaid,2.0771212547196622
2020-05,polka dot,3.5051499783199063
2020-05,preppy,4.804321373782642
2020-05,red,24.0
2020-05,sandals,3.4771212547196626
2020-05,sequins,2.0413926851582254
2020-05,shirt,15.793731229004226
2020-05,silk,8.231388025122545
2020-05,silver,2.0
2020-05,skirt,38.86823503446054
2020-05,slip dress,2.1
2020-05,sneakers,2.3
2020-05,streetwear,15.155272505103307
2020-05,striped,3.6812412373755876
2020-05,sunglasses,1.4771212547196624
2020-05,sweater,6.574816440645175
2020-05,t-shirt,2.0
2020-05,tie dye,3.8061799739838875
2020-05,trench coat,23.604514956904648
2020-05,turquoise,2.5051499783199063
2020-05,vintage,7.505149978319906
2020-05,white,1.3010299956639813
2020-05,y2k,2.9
2020-05,yellow,4.54551266781415
2020-06,athleisure,27.633802632729086
2020-06,avant-garde,5.362397997898956
2020-06,beige,4.0
2020-06,bermuda shorts,0.8999999999999999
2020-06,blazer,17.111083639267324
2020-06,blouse,14.13217028649592
2020-06,bomber jacket,6.910032699065754
2020-06,brown,32.75495965817733
2020-06,cardigan,1.3
2020-06,cargo pants,7.2434526764861875
2020-06,casual,12.277723605288848
2020-06,coat,55.18592820889739
2020-06,corduroy,0.6
2020-06,cotton,5.9084850188786495
2020-06,crop top,1.2
2020-06,denim,8.842422680822207
2020-06,dress,57.11098760152606
2020-06,faux leather,2.6
2020-06,floral,3.3483048630481607
2020-06,gray,8.385332742803936
2020-06,green,5.379181246047625
2020-06,handbag,1.5
2020-06,heels,3.762397997898956
2020-06,jacket,31.632179033062815
2020-06,jeans,7.2
2020-06,lace,2.1760912590556813
2020-06,leather,3.6
2020-06,linen,4.592256071356476
2020-06,magenta,2.9777236052888476
2020-06,maxi dress,27.581041396587967
2020-06,mini skirt,4.744068044350276
2020-06,minimalist,2.3
2020-06,olive,2.1760912590556813
2020-06,pants,30.359716828257294
2020-06,plaid,0.6
2020-06,preppy,1.3
2020-06,red,10.079181246047625
2020-06,sandals,1.0
2020-06,satin,2.079181246047625
2020-06,shirt,20.262078559416384
2020-06,skirt,13.088136088700551
2020-06,slip dress,2.4
2020-06,streetwear,8.442422680822206
2020-06,sweater,4.977121254719663
2020-06,t-shirt,4.146128035678238
2020-06,tie dye,4.690196080028514
2020-06,trench coat,26.883707134509752
2020-06,turquoise,2.5440680443502757
2020-06,velvet,1.0
2020-06,vintage,3.1440680443502758
2020-06,white,1.0
2020-06,y2k,1.3
2020-07,animal print,1.845098040014257
2020-07,athleisure,36.012975546652136
2020-07,avant-garde,2.6989700043360187
2020-07,beige,4.3
2020-07,bermuda shorts,0.8999999999999999
2020-07,black,2.6413926851582255
2020-07,blouse,31.462844508953594
2020-07,bodysuit,0.6
2020-07,bomber jacket,23.518272895197878
2020-07,brown,34.195637608168596
2020-07,camouflage,3.690196080028514
2020-07,cargo pants,8.575846436309156
2020-07,casual,13.032393759822968
2020-07,cherry red,3.0211892990699383
2020-07,coat,36.472678996417656
2020-07,corduroy,0.8999999999999999
2020-07,cotton,11.816970037757299
2020-07,crop top,1.2
2020-07,denim,5.542422680822206
2020-07,dress,75.99873199600015
2020-07,faux leather,6.5
2020-07,floral,9.451393397701688
2020-07,gorpcore,1.6989700043360187
2020-07,gray,6.0100326990657535
2020-07,green,0.3
2020-07,grunge,1.3010299956639813
2020-07,handbag,0.3
2020-07,heels,5.9754318085092635
2020-07,jacket,50.752741136880424
2020-07,jeans,17.863611979892145
2020-07,leather,6.5
2020-07,leopard print,0.3
2020-07,linen,13.17676821406943
2020-07,magenta,1.0
2020-07,maxi dress,29.8937229477792
2020-07,mini skirt,5.246128035678238
2020-07,minimalist,7.127369273053826
2020-07,pants,22.886207461316715
2020-07,periwinkle,2.5314789170422554
2020-07,pink,3.0
2020-07,plaid,3.946128035678238
2020-07,preppy,4.2
2020-07,red,16.495574584479414
2020-07,satin,2.9542425094393248
2020-07,sequins,2.0413926851582254
2020-07,shirt,52.60201379003592
2020-07,silk,2.341392685158225
2020-07,skirt,21.928418718397232
2020-07,slip dress,4.521189299069938
2020-07,sneakers,0.8999999999999999
2020-07,streetwear,29.29539414991754
2020-07,sweater,11.976032995097512
2020-07,t-shirt,15.236738743506645
2020-07,trench coat,18.10599057803202
2020-07,velvet,1.845098040014257
2020-07,vintage,2.0
2020-07,white,12.941834300476726
2020-07,y2k,1.2
2020-07,yellow,6.776991584856406
2020-08,athleisure,74.78273764841286
2020-08,avant-garde,16.904888979158713
2020-08,bermuda shorts,1.2
2020-08,black,7.718408024723518
2020-08,blouse,26.861587826123166
2020-08,bodysuit,3.57978359661681
2020-08,bomber jacket,12.018871121859839
2020-08,brown,43.38757244716998
2020-08,burgundy,8.978875531903016
2020-08,cardigan,2.633468455579586
2020-08,cargo pants,3.1
2020-08,casual,14.083336188934771
2020-08,coat,41.11407404880386
2020-08,coquette,1.0
2020-08,corduroy,4.14494397918711
2020-08,crop top,0.8999999999999999
2020-08,denim,1.9
2020-08,dress,136.43147452019767
2020-08,faux leather,5.2
2020-08,floral,7.4205590304056726
2020-08,green,10.705874259839279
2020-08,heels,17.57685409904103
2020-08,hoodie,2.4771212547196626
2020-08,jacket,27.90237080962753
2020-08,jeans,5.9085329378081415
2020-08,lace,3.506517429522861
2020-08,lavender,1.0
2020-08,leather,7.924275869600789
2020-08,linen,5.604059466217599
2020-08,maxi dress,62.03743910257475
2020-08,mini skirt,6.803089986991944
2020-08,minimalist,6.357775778241936
2020-08,mint,24.341429108018836
2020-08,pants,5.442422680822206
2020-08,pink,9.206517429522862
2020-08,plaid,0.8999999999999999
2020-08,polka dot,4.868285821603767
2020-08,preppy,6.373464045536408
2020-08,red,3.0
2020-08,sandals,4.40823996531185
2020-08,satin,2.462397997898956
2020-08,sequins,1.0
2020-08,shirt,15.254512993386836
2020-08,silver,1.0
2020-08,skirt,39.01431880846085
2020-08,slip dress,16.136051946114826
2020-08,streetwear,54.68408859351513
2020-08,sweater,3.9424226808222063
2020-08,t-shirt,1.0
2020-08,trench coat,32.38218007715065
2020-08,velvet,1.0
2020-08,vintage,11.94069162586346
2020-08,white,5.42151001846289
2020-08,y2k,10.779872510558139
2020-08,yellow,3.204119982655925
2020-09,animal print,4.136589637610663
2020-09,athleisure,75.87377037088535
2020-09,avant-garde,33.64872304186558
2020-09,beige,0.3
2020-09,bermuda shorts,1.5
2020-09,black,26.306597893433036
2020-09,blazer,6.116292015609667
2020-09,blouse,54.950916800108075
2020-09,bodysuit,3.8999999999999995
2020-09,bohemian,12.760398120916216
2020-09,bomber jacket,39.101011284443764
2020-09,boots,9.660360059959942
2020-09,brown,71.87740693368895
2020-09,burgundy,6.641739615930569
2020-09,cardigan,3.8440680443502755
2020-09,cargo pants,10.911309510866817
2020-09,casual,19.425398070511648
2020-09,chiffon,3.84494397918711
